DATE;ID;AMOUNT;TYPE;DESCRIPTION;COUNTRY
04.05.2017;;-2,050.00  ;CASH;;
05.05.2017;;-1,000.00  ;CASH;;
05.05.2017;;3,500.00  ;WIRE;;
08.05.2017;;-2,900.00  ;CASH;;
09.05.2017;;-97.48  ;DEBITCARD;;
09.05.2017;;-3,000.00  ;WIRE;;
09.05.2017;;-3,000.00  ;WIRE;;
09.05.2017;;-3,000.00  ;WIRE;;
09.05.2017;;-3,000.00  ;WIRE;;
09.05.2017;;-3,000.00  ;WIRE;;
09.05.2017;;-3,000.00  ;WIRE;;
09.05.2017;;-3,000.00  ;WIRE;;
10.05.2017;;-800.00  ;CASH;;
12.05.2017;;-2,000.00  ;WIRE;;
12.05.2017;;-3,000.00  ;WIRE;;
12.05.2017;;-3,000.00  ;WIRE;;
11.05.2017;;11,000.00  ;WIRE;;
11.05.2017;;15,351.00  ;WIRE;;
12.05.2017;;-2,540.00  ;WIRE;;
12.05.2017;;-3,000.00  ;WIRE;;
12.05.2017;;-3,000.00  ;WIRE;;
12.05.2017;;-3,000.00  ;WIRE;;
12.05.2017;;-3,000.00  ;WIRE;;
12.05.2017;;-3,000.00  ;WIRE;;
13.05.2017;;-1,000.00  ;CASH;;
17.05.2017;;-65.43  ;DEBITCARD;;
17.05.2017;;-100.00  ;CASH;;
17.05.2017;;-300.00  ;CASH;;
18.05.2017;;-2,000.00  ;CASH;;
19.05.2017;;-41.77  ;DEBITCARD;;
22.05.2017;;-61.38  ;DEBITCARD;;
24.05.2017;;-37.70  ;DEBITCARD;;
24.05.2017;;-63.34  ;DEBITCARD;;
26.05.2017;;13,131.00  ;WIRE;;
26.05.2017;;15,193.00  ;WIRE;;
29.05.2017;;-26.70  ;CASH;;
29.05.2017;;-11,050.00  ;CASH;;
27.05.2017;;-2,000.00  ;CASH;;
26.05.2017;;-250.00  ;CASH;;
28.05.2017;;-500.00  ;CASH;;
29.05.2017;;3,000.00  ;WIRE;;
29.05.2017;;3,500.00  ;WIRE;;
01.06.2017;;5,712.00  ;WIRE;;
01.06.2017;;10,769.50  ;WIRE;;
02.06.2017;;-500.00  ;CASH;;
02.06.2017;;-1,000.00  ;CASH;;
02.06.2017;;6,961.50  ;WIRE;;
06.06.2017;;-4,500.00  ;CASH;;
06.06.2017;;-67.52  ;DEBITCARD;;
07.06.2017;;-3,000.00  ;WIRE;;
07.06.2017;;-3,000.00  ;WIRE;;
07.06.2017;;-3,000.00  ;WIRE;;
07.06.2017;;-3,000.00  ;WIRE;;
05.06.2017;;5,000.00  ;WIRE;;
08.06.2017;;-66.03  ;DEBITCARD;;
09.06.2017;;-91.70  ;DEBITCARD;;
12.06.2017;;-56.55  ;DEBITCARD;;
12.06.2017;;10,174.50  ;WIRE;;
12.06.2017;;12,495.00  ;WIRE;;
12.06.2017;;15,351.00  ;WIRE;;
13.06.2017;;-2,696.00  ;WIRE;;
13.06.2017;;-3,000.00  ;WIRE;;
13.06.2017;;-3,000.00  ;WIRE;;
13.06.2017;;-3,000.00  ;WIRE;;
13.06.2017;;-3,000.00  ;WIRE;;
14.06.2017;;-10,000.00  ;CASH;;
19.06.2017;;-9.50  ;CASH;;
19.06.2017;;-700.00  ;CASH;;
19.06.2017;;2,975.00  ;WIRE;;
19.06.2017;;10,000.00  ;OTHER;;
19.06.2017;;16,600.00  ;WIRE;;
20.06.2017;;-10,000.00  ;CASH;;
20.06.2017;;-10,000.00  ;CASH;;
20.06.2017;;-1,000.00  ;CASH;;
20.06.2017;;2,900.00  ;WIRE;;
20.06.2017;;5,200.00  ;WIRE;;
21.06.2017;;-54.51  ;DEBITCARD;;
21.06.2017;;-67.28  ;DEBITCARD;;
21.06.2017;;-500.00  ;CASH;;
21.06.2017;;18,088.00  ;WIRE;;
22.06.2017;;-4,000.00  ;CASH;;
22.06.2017;;-9,000.00  ;CASH;;
22.06.2017;;-27.05  ;DEBITCARD;;
23.06.2017;;-545.00  ;WIRE;;
23.06.2017;;-1,660.00  ;WIRE;;
23.06.2017;;-2,355.00  ;WIRE;;
23.06.2017;;-2,652.50  ;WIRE;;
23.06.2017;;-3,000.00  ;WIRE;;
23.06.2017;;-3,000.00  ;WIRE;;
23.06.2017;;-3,000.00  ;WIRE;;
23.06.2017;;-3,000.00  ;WIRE;;
23.06.2017;;-3,000.00  ;WIRE;;
23.06.2017;;-3,000.00  ;WIRE;;
23.06.2017;;-3,000.00  ;WIRE;;
23.06.2017;;-3,000.00  ;WIRE;;
23.06.2017;;-3,000.00  ;WIRE;;
22.06.2017;;28,679.00  ;WIRE;;
23.06.2017;;-2,000.00  ;CASH;;
26.06.2017;;-2,200.00  ;CASH;;
26.06.2017;;-99.69  ;DEBITCARD;;
26.06.2017;;791.00  ;WIRE;;
26.06.2017;;1,418.20  ;WIRE;;
27.06.2017;;-20,000.00  ;CASH;;
28.06.2017;;-87.95  ;DEBITCARD;;
29.06.2017;;-61.77  ;DEBITCARD;;
